0.png:[[[(684, 410), (732, 417)], (712, 411)], [[(809, 428), (853, 427)], (827, 420)]]
262.png:[[[(601, 447), (645, 446)], (622, 441)], [[(719, 446), (771, 444)], (738, 439)]]
263.png:[[[(585, 447), (634, 447)], (611, 443)], [[(710, 444), (758, 438)], (723, 435)]]
264.png:[[[(622, 451), (668, 448)], (654, 441)], [[(750, 441), (790, 440)], (769, 431)]]
265.png:[[[(630, 444), (683, 449)], (664, 439)], [[(760, 441), (798, 436)], (779, 430)]]
266.png:[[[(637, 440), (682, 440)], (660, 436)], [[(763, 439), (800, 437)], (777, 429)]]
267.png:[[[(613, 433), (655, 437)], (635, 432)], [[(732, 439), (779, 435)], (751, 433)]]
268.png:[[[(588, 437), (635, 433)], (611, 432)], [[(718, 431), (766, 430)], (733, 427)]]
269.png:[[[(585, 440), (631, 438)], (606, 435)], [[(705, 436), (754, 430)], (725, 427)]]
27.png:[[[(592, 432), (632, 432)], (620, 433)], [[(710, 423), (752, 421)], (736, 420)]]
270.png:[[[(598, 452), (643, 450)], (622, 455)], [[(723, 443), (764, 442)], (747, 445)]]
271.png:[[[(606, 449), (647, 448)], (634, 445)], [[(729, 440), (771, 435)], (747, 432)]]
272.png:[[[(589, 442), (635, 440)], (615, 435)], [[(713, 434), (761, 429)], (730, 425)]]
273.png:[[[(565, 443), (609, 442)], (582, 435)], [[(685, 433), (735, 425)], (701, 422)]]
274.png:[[[(553, 440), (593, 443)], (570, 438)], [[(666, 430), (718, 423)], (682, 420)]]
275.png:[[[(563, 443), (604, 442)], (589, 439)], [[(681, 433), (722, 423)], (706, 421)]]
276.png:[[[(593, 442), (635, 441)], (622, 436)], [[(718, 432), (761, 423)], (745, 422)]]
277.png:[[[(614, 441), (664, 438)], (645, 433)], [[(742, 430), (782, 426)], (768, 422)]]
278.png:[[[(657, 438), (701, 436)], (688, 430)], [[(780, 431), (819, 429)], (800, 430)]]
279.png:[[[(672, 436), (717, 438)], (703, 432)], [[(794, 438), (828, 433)], (815, 431)]]
28.png:[[[(603, 432), (642, 430)], (629, 430)], [[(717, 425), (759, 423)], (744, 421)]]
280.png:[[[(661, 431), (705, 438)], (690, 426)], [[(785, 437), (820, 435)], (806, 430)]]
281.png:[[[(634, 431), (676, 432)], (656, 428)], [[(759, 433), (795, 433)], (769, 426)]]
282.png:[[[(621, 433), (663, 434)], (647, 429)], [[(743, 432), (785, 429)], (761, 426)]]
283.png:[[[(606, 434), (647, 434)], (624, 433)], [[(727, 431), (767, 429)], (743, 427)]]
284.png:[[[(571, 437), (612, 437)], (586, 436)], [[(685, 431), (736, 422)], (700, 425)]]
285.png:[[[(605, 444), (642, 441)], (628, 440)], [[(728, 432), (769, 430)], (750, 429)]]
286.png:[[[(636, 442), (682, 440)], (667, 437)], [[(757, 437), (801, 429)], (785, 429)]]
287.png:[[[(653, 439), (695, 440)], (682, 436)], [[(773, 438), (811, 433)], (796, 431)]]
288.png:[[[(675, 431), (718, 434)], (704, 428)], [[(790, 436), (828, 434)], (815, 432)]]
289.png:[[[(681, 427), (720, 429)], (705, 423)], [[(799, 437), (833, 434)], (819, 431)]]
29.png:[[[(608, 430), (649, 430)], (636, 427)], [[(729, 427), (766, 422)], (748, 419)]]
290.png:[[[(654, 423), (695, 426)], (670, 422)], [[(775, 430), (817, 433)], (793, 427)]]
291.png:[[[(625, 422), (667, 424)], (646, 416)], [[(747, 427), (788, 429)], (763, 422)]]
292.png:[[[(600, 420), (641, 422)], (619, 417)], [[(718, 420), (768, 419)], (736, 415)]]
293.png:[[[(576, 426), (618, 424)], (596, 421)], [[(694, 420), (740, 418)], (711, 412)]]
294.png:[[[(562, 435), (603, 433)], (576, 427)], [[(674, 423), (721, 419)], (688, 415)]]
295.png:[[[(559, 439), (602, 432)], (583, 429)], [[(675, 422), (726, 417)], (694, 413)]]
296.png:[[[(573, 440), (625, 435)], (601, 429)], [[(697, 426), (740, 417)], (717, 413)]]
297.png:[[[(599, 425), (644, 427)], (621, 418)], [[(717, 422), (766, 415)], (738, 404)]]
298.png:[[[(609, 421), (651, 421)], (634, 409)], [[(730, 416), (772, 414)], (750, 404)]]
299.png:[[[(629, 420), (675, 420)], (655, 412)], [[(750, 420), (790, 416)], (773, 411)]]
3.png:[[[(594, 424), (644, 425)], (621, 424)], [[(718, 421), (760, 416)], (736, 415)]]
30.png:[[[(606, 431), (649, 430)], (630, 428)], [[(725, 426), (767, 424)], (741, 422)]]
300.png:[[[(593, 422), (633, 424)], (608, 421)], [[(711, 422), (764, 420)], (730, 415)]]
301.png:[[[(580, 427), (626, 425)], (601, 420)], [[(706, 421), (750, 419)], (720, 415)]]
302.png:[[[(573, 429), (618, 429)], (595, 423)], [[(695, 423), (739, 421)], (712, 413)]]
303.png:[[[(623, 433), (667, 434)], (649, 427)], [[(743, 431), (783, 427)], (765, 423)]]
304.png:[[[(625, 434), (670, 434)], (656, 429)], [[(750, 432), (788, 429)], (771, 426)]]
305.png:[[[(619, 434), (662, 434)], (638, 427)], [[(744, 434), (780, 433)], (759, 427)]]
306.png:[[[(590, 436), (633, 436)], (607, 428)], [[(710, 432), (753, 429)], (723, 424)]]
307.png:[[[(576, 433), (617, 432)], (594, 426)], [[(693, 427), (740, 423)], (710, 417)]]
308.png:[[[(574, 433), (611, 430)], (591, 426)], [[(690, 427), (740, 419)], (710, 415)]]
309.png:[[[(601, 415), (649, 416)], (628, 407)], [[(723, 412), (770, 407)], (747, 400)]]
31.png:[[[(599, 430), (641, 428)], (620, 424)], [[(713, 424), (757, 419)], (732, 417)]]
310.png:[[[(605, 414), (649, 415)], (624, 408)], [[(725, 412), (767, 407)], (738, 403)]]
311.png:[[[(588, 420), (632, 417)], (606, 411)], [[(709, 411), (753, 409)], (726, 403)]]
312.png:[[[(573, 425), (620, 422)], (597, 418)], [[(697, 416), (739, 412)], (711, 407)]]
313.png:[[[(576, 425), (616, 425)], (597, 420)], [[(690, 417), (741, 415)], (711, 408)]]
314.png:[[[(584, 428), (624, 425)], (606, 422)], [[(696, 419), (742, 417)], (720, 414)]]
315.png:[[[(602, 430), (650, 427)], (630, 428)], [[(722, 421), (768, 419)], (749, 419)]]
316.png:[[[(614, 433), (657, 430)], (636, 430)], [[(733, 425), (778, 423)], (760, 425)]]
317.png:[[[(606, 431), (655, 430)], (631, 435)], [[(731, 426), (772, 422)], (750, 426)]]
318.png:[[[(591, 427), (634, 428)], (610, 430)], [[(717, 424), (764, 421)], (732, 421)]]
319.png:[[[(579, 430), (627, 429)], (599, 427)], [[(705, 420), (752, 418)], (722, 418)]]
32.png:[[[(598, 430), (645, 429)], (624, 426)], [[(716, 426), (757, 421)], (738, 420)]]
320.png:[[[(571, 437), (618, 435)], (593, 432)], [[(693, 427), (740, 420)], (705, 418)]]
321.png:[[[(584, 431), (621, 433)], (604, 429)], [[(700, 426), (741, 420)], (717, 419)]]
322.png:[[[(605, 436), (657, 434)], (635, 429)], [[(731, 430), (777, 426)], (754, 422)]]
323.png:[[[(624, 432), (674, 431)], (661, 425)], [[(752, 428), (794, 427)], (776, 423)]]
324.png:[[[(643, 425), (690, 426)], (670, 419)], [[(768, 424), (809, 424)], (788, 422)]]
325.png:[[[(650, 413), (699, 419)], (678, 408)], [[(771, 422), (820, 425)], (789, 415)]]
326.png:[[[(634, 409), (682, 413)], (650, 409)], [[(756, 414), (798, 416)], (768, 410)]]
327.png:[[[(602, 413), (648, 414)], (624, 407)], [[(722, 412), (772, 414)], (739, 404)]]
328.png:[[[(579, 424), (619, 424)], (597, 418)], [[(693, 413), (741, 412)], (713, 406)]]
329.png:[[[(596, 424), (638, 428)], (617, 417)], [[(709, 415), (758, 417)], (733, 410)]]
33.png:[[[(602, 426), (644, 428)], (626, 424)], [[(720, 421), (765, 419)], (741, 414)]]
330.png:[[[(615, 426), (660, 426)], (645, 419)], [[(737, 428), (780, 424)], (756, 421)]]
331.png:[[[(646, 424), (693, 430)], (675, 423)], [[(770, 430), (805, 430)], (787, 429)]]
332.png:[[[(654, 425), (705, 429)], (679, 425)], [[(774, 435), (815, 434)], (792, 430)]]
333.png:[[[(646, 425), (690, 429)], (673, 427)], [[(765, 433), (811, 432)], (781, 429)]]
334.png:[[[(625, 425), (672, 426)], (651, 426)], [[(745, 428), (790, 427)], (767, 427)]]
335.png:[[[(603, 423), (647, 423)], (619, 422)], [[(721, 422), (770, 421)], (739, 417)]]
336.png:[[[(592, 424), (638, 422)], (612, 419)], [[(715, 422), (759, 419)], (729, 412)]]
337.png:[[[(583, 420), (626, 421)], (602, 415)], [[(704, 416), (754, 414)], (719, 408)]]
338.png:[[[(573, 423), (613, 421)], (590, 416)], [[(692, 417), (735, 412)], (705, 406)]]
339.png:[[[(586, 421), (631, 421)], (609, 414)], [[(707, 416), (751, 407)], (723, 403)]]
34.png:[[[(597, 427), (643, 427)], (630, 424)], [[(718, 422), (761, 415)], (744, 415)]]
340.png:[[[(591, 417), (633, 414)], (613, 405)], [[(705, 404), (754, 401)], (724, 395)]]
341.png:[[[(597, 412), (641, 409)], (619, 400)], [[(714, 401), (755, 397)], (732, 390)]]
342.png:[[[(601, 408), (640, 406)], (616, 404)], [[(708, 399), (757, 396)], (722, 393)]]
343.png:[[[(592, 412), (627, 412)], (607, 408)], [[(700, 404), (746, 401)], (713, 396)]]
